CODIGOARTICULO;SECCION;NOMBRE;PRECIO;FECHA;IMPORTADO;PAISDEORIGEN;FOTO
AR01;FERRETERIA;DESTORNILLADOR;6,63;22/10/2000;FALSO;ESPA¥A;
AR02;CONFECCION;TRAJE CABALLERO;284,58;11/3/2002;VERDADERO;ITALIA;
AR03;JUGETERIA;COCHE TELEDIRIGIDO;159,45;26/5/2002;VERDADERO;MARRUECOS;
AR04;DEPORTES;RAQUETA TENIS;93,47;20/3/2000;VERDADERO;USA;
AR06;DEPORTES;MANCUERNA;60,00;13/9/2000;VERDADERO;USA;
AR07;CONFECCION;SERRUCHO;30,20;23/3/2001;VERDADERO;FRANCIA;
AR08;JUGETERIA;CORREPAS;103,34;11/4/2000;VERDADERO;JAPON;
AR09;CONFECCION;PANTALON SE¥ORA;174,23;10/1/2000;VERDADERO;MARRUECOS;
AR10;JUGETERIA;CONSOLA VIDEO;442,54;24/9/2002;VERDADERO;USA;
AR11;CERAMICA;TUBOS;168,43;4/2/2000;VERDADERO;CHINA;
AR12;FERRETERIA;LLAVE INGLESA;24,40;23/5/2001;VERDADERO;USA;
AR13;CONFECCION;CAMISA CABALLERO;67,13;11/8/2002;FALSO;ESPA¥A;
AR14;JUGETERIA;TREN ELECTRICO;1505,38;3/7/2001;VERDADERO;JAPON;
AR15;CERAMICA;PLATO DECORADO;54,09;7/6/2000;VERDADERO;CHINA;
AR16;FERRETERIA;ALICATE;6,74;17/4/2000;VERDADERO;ITALIA;
AR17;JUGETERIA;MUNECA ARTICULADA;105,06;4/1/2001;FALSO;ESPA¥A;
AR18;DEPORTES;PISTOLA OLIMPICA;46,73;2/2/2001;VERDADERO;SUECIA;
AR019;CONFECCION;BLUSA SE¥ORA;101,35;18/3/2000;VERDADERO;CHINA;
AR20;CERAMICA;JUEGO DE TE;43,27;15/1/2001;VERDADERO;CHINA;
